X            	Y            
-2,03429324	2,912491294
-1,543588345	3,023141244
-4,06579567	-2,501230124
-1,751231231	3,26576585
-3,512312312	-2,543534534
3,12420124	3,20435034
2,501239123	3,2123212
0,9123912	-2,021012
1,0100123	-1,5239123
-5,2102103	1,45030453
6,13211203	-1,230213012
6,0123012	1,101203
4,1200123	-5,50210021
3,5023032	-5,72183218
4,784285887	4,00242149
-2,578033666	-1,263326345
0,561179423	-0,371607462
0,248427324	3,595893142
5,738327675	-0,139442761
4,453106935	3,687656569
-0,381358756	2,714904295
4,098120791	3,088464299
7,352332445	-1,09395589
3,861545183	4,379297752
-1,908943424	-1,203124082
2,263811074	-4,930274001
-4,922911483	-1,85818781
-5,431307882	-2,656875514
4,172731525	3,936860494
2,673899858	4,33051302
-0,985975846	-1,402975887
-2,107594877	-1,970147126
1,898105494	-0,280805005
3,256477056	-4,645428082
-1,205565055	-1,65414007
-5,040412427	-2,021535607
-5,571555376	-2,56242764
-1,829360751	-2,939974241
2,513479212	-5,577167747
5,924121256	-0,253106851
-1,404637784	3,969954491
-2,222584231	-2,347255055
7,135939263	-0,419878947
-2,80238176	-1,18594187
3,70332817	3,780073719
-4,302200281	-1,252891803
7,596617775	-0,413911175
6,524712161	-0,505160291
4,663178821	-4,491126746
0,252662885	-0,538668643
3,966362234	3,835579732
4,614238271	-0,028434691
1,563206748	3,925798779
-4,848460213	-1,486416643
4,262928073	-4,411074511
-5,270910706	-2,545226809
5,341214474	-5,333477809
-0,388403659	2,98287519
-3,425673474	2,584855526
-3,589040888	-1,435221641
5,394371707	-5,162585234
-0,929601421	-0,213404906
4,696601653	3,305786152
-5,531210198	-1,470807823
-2,393560191	3,856678833
-2,033644418	4,541916412
-0,690078597	4,262875661
-3,335055089	3,796865043
-0,167701446	-1,245158309
0,157487082	4,35444808
-1,398536113	3,836797301
-2,824764119	3,423154224
5,4033263	0,066620182
-0,431696815	2,711883553
4,521174747	2,979950785
-0,844135909	-0,125857282
-1,104129406	-0,618574803
-5,252065832	-1,869783521
-2,213858623	-1,985332916
-1,051956652	-1,200989894
1,728722251	-1,127663873
3,654374119	3,953995808
-3,03507405	4,067655373
-0,393413101	-0,29139675
-5,590994347	-2,456907512
0,681506463	-0,168439714
3,559806403	4,067069803
0,262980392	4,161640461
4,130510986	-0,939257583
1,769682348	-1,078717279
5,188237544	-4,96883691
-1,759271593	4,058374679
2,06184123	-0,429241027
2,286187751	3,87569967
1,031918391	-0,234326116
2,763863164	4,018129004
-1,782630244	-2,586941499
2,570275229	-4,781777139
-1,827319991	-2,283917241
0,702277241	-0,279442263
-0,655321162	-1,469410594
7,648592732	-0,261326298
2,715928208	4,31094131
-3,736419364	-1,45530851
4,344444442	4,108763553
1,797059578	-0,301557568
-1,189801664	-1,977696924
2,383037897	3,871359513
1,394893827	-0,525995271
1,707823929	-0,711648575
7,771080005	-1,234554187
-2,703453077	3,81530178
-5,716929846	-2,88228114
3,000226608	-4,184304706
6,523103221	0,262275938
-2,293310166	-1,773319405
7,142059165	-0,076993271
-3,052210857	-1,318514881
2,525778313	-5,575274812
4,838524997	3,827709388
0,196572165	2,804789258
-2,005977164	-2,552216264
-3,419812712	3,27614943
4,881146044	-4,048702446
1,036464764	4,152561416
5,674492567	-5,269292968
5,176620038	0,426041524
5,987338306	-4,306156576
-2,293655575	-1,109168494
-3,831828456	-1,688912441
-3,673557674	3,760540465
6,347499117	-0,064781262
-0,303399225	-0,310968384
-5,183793347	-1,847937399
-4,761542445	-2,086369445
4,296162711	-4,388662594
-0,805528633	4,409720375
7,237767797	0,243966623
-0,471308239	-1,509111801
-0,093515246	2,890867878
2,311695742	-0,944556157
2,304463601	4,061648177
-4,435538333	-1,879392391
5,275808151	-4,853322325
-0,57062701	3,260722791
-5,472551915	-2,187662014
4,171322165	2,842270183
2,864406671	4,671737705
1,996331401	4,187677999
-0,745720807	-0,275074269
6,867807837	-0,691040709
3,383181945	4,497961121
6,066689258	0,139840459
-3,033139912	-1,437920766
4,67514462	0,14969851
2,132353696	4,012720965
-2,620638678	4,26591786
0,985734498	4,185136634
-3,299499047	-1,670354392
2,568666299	4,096807805
-0,226043609	-0,56941877
2,126103284	-5,251777586
2,795744188	3,96259636
2,593262013	-0,537453275
4,012033602	-0,416477707
-2,593075162	4,250700736
2,560278387	-4,51979074
1,340229456	3,032225239
2,62653126	4,128437931
-0,33572386	3,627355225
1,510225641	3,987379203
-4,262546796	-1,510705398
-3,165409487	-1,022263341
-3,367210638	3,40577342
6,524903079	0,027077088
-5,261697105	-1,617668589
-3,120805552	3,329534885
-2,343795426	-2,320514641
7,779931611	0,299692197
6,696550433	-0,654347845
-5,707280423	-2,498886176
1,334060813	3,94776341
5,693758311	-5,230863751
-3,286346923	2,611259122
2,554145482	4,432981695
4,355288115	3,192935657
2,781978415	-4,715771349
4,633625208	4,243772691
-2,276897747	4,148560103
-0,322900483	-0,501722067
-2,020961797	4,103738073
4,316062723	0,094633737
3,95113978	-0,946515909
4,137540003	2,993333745
